,vx,vy,vz,x,y,z
Carina1,-40.387308140339776,-67.16828496102893,161.89264101660217,-0.025215014214789437,-0.09630544436652988,-0.03985410070954303
Draco1,46.94821606713183,-15.427336301984274,-150.33384821104224,-0.004266868706948167,0.06235074353728816,0.043294990322576804
Fornax1,45.92890477293843,-151.7255076317655,84.03299393805744,-0.041488085621465415,-0.050945569179760224,-0.13380908272349187
Leo1,-167.62967164491812,-16.57035613338266,118.86379284237138,-0.1250950126377161,-0.12151863814390222,0.19562703923393593
Leo2,20.079685146958692,-21.634983386318883,25.93924169855912,-0.076506940817507,-0.05816663682663711,0.21509315166936757
Sextans1,-254.44630646294604,70.29475792994748,51.60827902831157,-0.03862820367101341,-0.06125844540867138,0.06234754448115049
Sculptor1,16.772675096374986,158.55463690076,-96.31886553174427,-0.005558918749585303,-0.009532725898462208,-0.08328460694209973
UrsaMinor1,-1.8522525847181557,26.56110195730756,-147.80694688513256,-0.022051603004129262,0.0520978706933499,0.05362461259803626
Sagittarius1,232.5157738320559,-33.07356500580574,203.02505595096892,0.01676954787858732,0.002446372426182574,-0.006417783395207551
Bootes1,138.49286830588025,-117.61641217788163,64.33360636017535,0.014851956571684987,-0.0007659417226733307,0.06182831287966916
